ID	ComplaintNo	SR	Datereceived	timereceived	Requestor	Building	department	location	CMType	Description	responseDate	ResponseTime	responsedBy	Response	Inspection	InspectBy	image1	image2	Report	COID	Contractor	Insp_position	Status	DateClose	TimeClose	AggreeBy	Agg_Position	QRef	QDesc	QFile	Staff	Priority	Odometer	Vehicle	DateModify	TimeModify	ModifyBy	TrailerNo	Driver	Jarak_Operasi	MrType	ForTrailer
636691	NULL	MR/20/40500/20/00052	59:27.1	Jan  2 2020  9:59AM	NIZAR	40500	NULL	442051020	NULL	CUCI DALAM PKO	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	00:00.0	NULL	NULL	NULL	NULL	NULL	NULL	1700338	1	1268985	WRT7180	NULL	NULL	NULL	TWC802	42002056	0	2	0
638056	NULL	MR/20/40500/20/00170	57:01.9	Jan  6 2020  4:57PM	NIZAR	40500	NULL	442051020	NULL	1. SERVIS 2.WIRING LAMPU 3.TULANG ANJING	38:00.7	Jan  7 2020  9:38AM	1700199	"servis,wiring tler sidelamp stabilizer bush pecah."	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1700199	NULL	NULL	NULL	NULL	1700407	1	1273871	WRT7180	NULL	NULL	NULL	TWC802	42002056	0	1	0
638099	NULL	MR/20/40500/20/00179	29:35.6	Jan  7 2020  9:29AM	NIZAR	40500	NULL	442051020	NULL	CUCI DALAM PKO	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	00:00.0	NULL	NULL	NULL	NULL	NULL	NULL	1700338	1	1273871	WRT7180	NULL	NULL	NULL	TWC802	42002056	0	2	0
638401	NULL	MR/20/40500/20/00250	21:30.9	Jan  9 2020  2:21PM	nizar	40500	NULL	442051020	NULL	cuci lori	06:20.1	Jan 23 2020 11:06AM	1700199		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	4:32:32 PM	1700199	NULL	NULL	NULL	NULL	1700338	1	1273871	WRT7180	NULL	NULL	NULL	TWC802	42002056	0	2	0
638402	NULL	MR/20/40500/20/00251	22:52.7	Jan  9 2020  2:22PM	nizar	40500	NULL	442051020	NULL	cuci dalam molasses	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	00:00.0	NULL	NULL	NULL	NULL	NULL	NULL	1700338	1	1273871	WRT7180	NULL	NULL	NULL	TWC802	42002056	0	2	0
638403	NULL	MR/20/40500/20/00252	23:08.0	Jan  9 2020  2:23PM	NIZAR	40500	NULL	442051020	NULL	SEMAK SPEED LIMIT	43:57.7	Jan 11 2020 11:43AM	1700199	seating speed limit 90/km	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	00:00.0	NULL	1700199	NULL	NULL	NULL	NULL	1700338	1	1273871	WRT7180	NULL	NULL	NULL	TWC802	42002056	0	1	0
638477	NULL	MR/20/40500/20/00265	25:17.8	Jan 10 2020 10:25AM	NIZAR	40500	NULL	442051020	NULL	CUCI DALAM PKO	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	00:00.0	NULL	NULL	NULL	NULL	NULL	NULL	1700338	1	1273871	WRT7180	NULL	NULL	NULL	TWC802	42002056	0	2	0
638850	NULL	MR/20/40500/20/00340	32:33.5	Jan 14 2020  4:32PM	NIZAR	40500	NULL	442051020	NULL	CUCI DALAM PKO	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	00:00.0	NULL	NULL	NULL	NULL	NULL	NULL	1700338	1	1273871	WRT7180	NULL	NULL	NULL	TWC802	42002056	0	2	0
638851	NULL	MR/20/40500/20/00341	33:44.8	Jan 14 2020  4:33PM	NIZAR	40500	NULL	442051020	NULL	CUCI DALAM PKO	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	00:00.0	NULL	NULL	NULL	NULL	NULL	NULL	1700338	1	1273871	WRT7180	NULL	NULL	NULL	TWC802	42002056	0	2	0
639160	NULL	MR/20/40500/20/00417	55:01.9	Jan 17 2020  3:55PM	NIZAR	40500	NULL	442051020	NULL	CUCI LORI	01:10.3	Feb  4 2020  4:01PM	1700199		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	4:32:32 PM	1700199	NULL	NULL	NULL	NULL	1700338	1	1277211	WRT7180	NULL	NULL	NULL	TWC802	42002056	0	2	0
639170	NULL	MR/20/40500/20/00418	36:13.7	Jan 17 2020  4:36PM	NIZAR	40500	NULL	442051020	NULL	WIRING LAMPU	28:57.3	Jan 18 2020 12:28PM	1700199	wiring tler sidelamp.	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1700199	NULL	NULL	NULL	NULL	1700338	1	1277211	WRT7180	NULL	NULL	NULL	TWC802	42002056	0	1	0
