ID	ComplaintNo	SR	Datereceived	timereceived	Requestor	Building	department	location	CMType	Description	responseDate	ResponseTime	responsedBy	Response	Inspection	InspectBy	image1	image2	Report	COID	Contractor	Insp_position	Status	DateClose	TimeClose	AggreeBy	Agg_Position	QRef	QDesc	QFile	Staff	Priority	Odometer	Vehicle	DateModify	TimeModify	ModifyBy	TrailerNo	Driver	Jarak_Operasi	MrType	ForTrailer
638060	NULL	MR/20/40200/20/00048	24:34.1	Jan  6 2020  6:24PM	MAT ISA	40200	NULL	442021020	NULL	1- CUCI LORI	46:55.4	Jan  7 2020  8:46AM	1701207	1- CUCI LORI	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1701207	NULL	NULL	NULL	NULL	1700071	1	970265	WWM8494	NULL	NULL	NULL	TWC1970	42001091	0	2	0
638177	NULL	MR/20/40200/20/00074	01:18.2	Jan  7 2020  4:01PM	MAT ISA	40200	NULL	442021020	NULL	1.BRAKEDOWN DI WESPORT 2.TAYAR MELETUP	36:45.5	Jan  7 2020  4:36PM	1701207	1.BRAKEDOWN DI WESPORT 2.TAYAR MELETUP	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1701207	NULL	NULL	NULL	NULL	1700071	1	970266	WWM8494	NULL	NULL	NULL	TWC1970	42001091	0	3	0
638418	NULL	MR/20/40200/20/00109	19:28.7	Jan  9 2020  3:19PM	MAT ISA	40200	NULL	442021020	NULL	ADJUST BRAKE	13:08.7	Jan 13 2020 10:13AM	1701207	ADJUST BRAKE	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1701207	NULL	NULL	NULL	NULL	1700071	1	970267	WWM8494	NULL	NULL	NULL	TWC1970	42001091	0	1	0
639180	NULL	MR/20/40200/20/00239	13:17.9	Jan 17 2020  5:13PM	MAT ISA	40200	NULL	442021020	NULL	1.CUCI LORI	07:43.9	Jan 17 2020  6:07PM	1701207	1.CUCI LORI	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1701207	NULL	NULL	NULL	NULL	1700071	1	970268	WWM8494	NULL	NULL	NULL	TWC1970	42001091	0	1	0
639192	NULL	MR/20/40200/20/00247	09:31.1	Jan 18 2020  8:09AM	MAT ISA	40200	NULL	442021020	NULL	1- CHECK WIRING 2- MINYAK ENJIN	55:05.2	Jan 18 2020  8:55AM	1701207	1- CHECK WIRING 2- MINYAK ENJIN	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1701207	NULL	NULL	NULL	NULL	1700071	1	970269	WWM8494	NULL	NULL	NULL	TWC1970	42001091	0	1	0
639836	NULL	MR/20/40200/20/00360	16:54.3	Jan 28 2020 10:16AM	MAT ISA	40200	NULL	442021020	NULL	1- SERVIS 1001139 2- CHECK BEARING 3- CHECK LINING 	21:18.6	Jan 28 2020 10:21AM	1701207	1- SERVIS 1001139 2- CHECK BEARING 3- CHECK LINING	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1701207	NULL	NULL	NULL	NULL	1700071	1	1001139	WWM8494	NULL	NULL	NULL	TWC1970	42001091	0	1	0
641278	NULL	MR/20/40200/20/00444	57:00.2	Feb  3 2020 11:57AM	MAT ISA	40200	NULL	442021020	NULL	1.CUCI LORI	01:30.8	Feb  5 2020 11:01AM	1701207	1.CUCI LORI	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1701207	NULL	NULL	NULL	NULL	1700071	1	1001140	WWM8494	NULL	NULL	NULL	TWC1970	42001091	0	2	0
641282	NULL	MR/20/40200/20/00445	00:15.8	Feb  3 2020 12:00PM	MAT ISA	40200	NULL	442021020	NULL	1.ANGIN P/MOVER BOCOR 2.STUD NUT TAYAR DEPAN PATAH	38:40.3	Feb  5 2020 10:38AM	1701207	1.ANGIN P/MOVER BOCOR 2.STUD NUT TAYAR DEPAN PATAH	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1701207	NULL	NULL	NULL	NULL	1700071	1	1001141	WWM8494	NULL	NULL	NULL	TWC1970	42001091	0	1	0
641293	NULL	MR/20/40200/20/00450	31:26.1	Feb  3 2020 12:31PM	MAT ISA	40200	NULL	442021020	NULL	1.ANGIN BOCOR 2.TYRE STUD	35:19.8	Feb  5 2020 10:35AM	1701207	1.ANGIN BOCOR 2.TYRE STUD	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1701207	NULL	NULL	NULL	NULL	1700071	1	1001242	WWM8494	NULL	NULL	NULL	TWC1970	42001091	0	1	0
641510	NULL	MR/20/40200/20/00495	58:57.6	Feb  5 2020  8:58AM	MAT ISA	40200	NULL	442021020	NULL	1.ADJUST BRAKE	01:56.2	Feb  5 2020  9:01AM	1701207	1.ADJUST BRAKE	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1701207	NULL	NULL	NULL	NULL	1700071	1	1001243	WWM8494	NULL	NULL	NULL	TWC1970	42001091	0	1	0
