COLUMN_NAME	DATA_TYPE	CHARACTER_MAXIMUM_LENGTH	IS_NULLABLE	COLUMN_DEFAULT	ORDINAL_POSITION
ID	int	NULL	NO	NULL	1
ComplaintNo	nvarchar	50	YES	NULL	2
SR	nvarchar	50	YES	NULL	3
Datereceived	datetime	NULL	YES	NULL	4
timereceived	nvarchar	50	YES	NULL	5
Requestor	nvarchar	200	YES	NULL	6
Building	nvarchar	50	YES	NULL	7
department	nvarchar	50	YES	NULL	8
location	nvarchar	50	YES	NULL	9
CMType	nvarchar	50	YES	NULL	10
Description	ntext	1073741823	YES	NULL	11
responseDate	datetime	NULL	YES	NULL	12
ResponseTime	nvarchar	50	YES	NULL	13
responsedBy	nvarchar	50	YES	NULL	14
Response	ntext	1073741823	YES	NULL	15
Inspection	ntext	1073741823	YES	NULL	16
InspectBy	nvarchar	100	YES	NULL	17
image1	nvarchar	200	YES	NULL	18
image2	nvarchar	200	YES	NULL	19
Report	nvarchar	200	YES	NULL	20
COID	nvarchar	50	YES	NULL	21
Contractor	nvarchar	255	YES	NULL	22
Insp_position	nvarchar	200	YES	NULL	23
Status	nvarchar	50	YES	NULL	24
DateClose	datetime	NULL	YES	NULL	25
TimeClose	nvarchar	50	YES	NULL	26
AggreeBy	nvarchar	50	YES	NULL	27
Agg_Position	nvarchar	50	YES	NULL	28
QRef	nvarchar	50	YES	NULL	29
QDesc	nvarchar	200	YES	NULL	30
QFile	nvarchar	255	YES	NULL	31
Staff	nvarchar	100	YES	NULL	32
Priority	nvarchar	50	YES	NULL	33
Odometer	nvarchar	50	YES	NULL	34
Vehicle	nvarchar	50	YES	NULL	35
DateModify	datetime	NULL	YES	NULL	36
TimeModify	datetime	NULL	YES	NULL	37
ModifyBy	nvarchar	50	YES	NULL	38
TrailerNo	nvarchar	50	YES	NULL	39
Driver	nvarchar	50	YES	NULL	40
Jarak_Operasi	float	NULL	YES	NULL	41
MrType	char	10	YES	NULL	42
ForTrailer	bit	NULL	YES	((0))	43
